Order_ID,Size,Color,Order,Detail_Divan,Buyer_ID,Order_Date,Finish_Date,Price
230,140,Hitam,Tipe2,Biasa,1,12/27/2020,1/3/2021,700000
231,160,Hitam,Tipe2,Biasa,1,12/27/2020,1/3/2021,700000
232,120,Merah,Tipe2,Biasa,1,12/27/2020,1/3/2021,700000
233,160,Abu-Abu,Tipe3,Biasa,1,12/27/2020,1/3/2021,1100000
234,120,Hitam,Tipe3,Biasa,1,12/27/2020,1/3/2021,1100000
235,160,Merah,Tipe4,Biasa,1,12/27/2020,1/3/2021,1300000
236,180,Pink,Tipe4,Biasa,1,12/27/2020,1/3/2021,1300000
237,140,Abu-Abu,Tipe2,Laci,1,12/27/2020,1/3/2021,1000000
238,160,Pink,Tipe4,Laci,1,12/27/2020,1/3/2021,1600000
239,120,Merah,Tipe1,Biasa,2,12/28/2020,1/4/2021,1200000
240,120,Abu-Abu,Tipe2,Biasa,2,12/28/2020,1/4/2021,700000
241,160,Hitam,Tipe2,Biasa,2,12/28/2020,1/4/2021,700000
242,160,Abu-Abu,Tipe3,Biasa,2,12/28/2020,1/4/2021,1100000
243,160,Coklat,Tipe3,Biasa,2,12/28/2020,1/4/2021,1100000
244,160,Hitam,Tipe3,Biasa,2,12/28/2020,1/4/2021,1100000
245,160,Hitam,Tipe3,Biasa,2,12/28/2020,1/4/2021,1100000
246,120,Hitam,Tipe4,Biasa,2,12/28/2020,1/4/2021,1300000
247,140,Hitam,Tipe4,Biasa,2,12/28/2020,1/4/2021,1300000
248,180,Hitam,Tipe4,Biasa,2,12/28/2020,1/4/2021,1300000
249,160,Pink,Tipe4,Biasa,2,12/28/2020,1/4/2021,1300000
250,160,Abu-Abu,Tipe3,Laci,2,12/28/2020,1/4/2021,1400000
251,140,Hitam,Tipe1,Permata,2,12/28/2020,1/4/2021,180000
252,160,Abu-Abu,Tipe3,Permata,2,12/28/2020,1/4/2021,1700000
253,160,Abu-Abu,Tipe1,Biasa,1,1/3/2021,1/10/2021,1200000
254,160,Abu-Abu,Tipe1,Biasa,1,1/3/2021,1/10/2021,1200000
255,160,Hitam,Tipe1,Biasa,1,1/3/2021,1/10/2021,1200000
256,120,Coklat,Tipe2,Biasa,1,1/3/2021,1/10/2021,700000
257,180,Coklat,Tipe2,Biasa,1,1/3/2021,1/10/2021,700000
258,160,Hitam,Tipe2,Biasa,1,1/3/2021,1/10/2021,700000
259,160,Coklat,Tipe3,Biasa,1,1/3/2021,1/10/2021,1100000
260,180,Coklat,Tipe3,Biasa,1,1/3/2021,1/10/2021,1100000
261,160,Hitam,Tipe3,Biasa,1,1/3/2021,1/10/2021,1100000
262,160,Pink,Tipe3,Biasa,1,1/3/2021,1/10/2021,1100000
263,180,Pink,Tipe3,Biasa,1,1/3/2021,1/10/2021,1100000
264,180,Hitam,Tipe4,Biasa,1,1/3/2021,1/10/2021,1300000
265,180,Hitam,Tipe4,Biasa,1,1/3/2021,1/10/2021,1300000
266,120,Coklat,Tipe2,Laci,1,1/3/2021,1/10/2021,1000000
267,140,Coklat,Tipe1,Biasa,2,1/4/2021,1/11/2021,1200000
268,160,Hitam,Tipe1,Biasa,2,1/4/2021,1/11/2021,1200000
269,160,Merah,Tipe1,Biasa,2,1/4/2021,1/11/2021,1200000
270,180,Hitam,Tipe2,Biasa,2,1/4/2021,1/11/2021,700000
271,140,Coklat,Tipe3,Biasa,2,1/4/2021,1/11/2021,1100000
272,140,Hitam,Tipe3,Biasa,2,1/4/2021,1/11/2021,1100000
273,160,Hitam,Tipe3,Biasa,2,1/4/2021,1/11/2021,1100000
274,160,Hitam,Tipe3,Biasa,2,1/4/2021,1/11/2021,1100000
275,120,Coklat,Tipe4,Biasa,2,1/4/2021,1/11/2021,1300000
276,160,Pink,Tipe4,Biasa,2,1/4/2021,1/11/2021,1300000
277,140,Hitam,Tipe2,Permata,2,1/4/2021,1/11/2021,1300000
278,180,Hitam,Tipe2,Permata,2,1/4/2021,1/11/2021,1300000
279,160,Coklat,Tipe3,Permata,2,1/4/2021,1/11/2021,1700000
