order_id;order_date;order_detail/information;order_status;order_deadline
568;25/02/2021;Tipe3 Biasa 140 Abu-Abu;;
569;25/02/2021;Tipe3 Biasa 160 Abu-Abu;;
570;25/02/2021;Tipe4 Biasa 180 Hitam;;
571;25/02/2021;Tipe3 Laci 120 Abu-Abu;;
572;28/02/2021;Tipe3 Laci 160 Coklat;;
573;28/02/2021;Tipe3 Permata 180 Abu-Abu;;
574;28/02/2021;Tipe3 Permata 140 Hitam;;
575;28/02/2021;Tipe1 Biasa 180 Coklat;;
576;28/02/2021;Tipe1 Biasa 180 Coklat;;
577;28/02/2021;Tipe1 Biasa 180 Hitam;;
578;28/02/2021;Tipe2 Biasa 180 Abu-Abu;;
579;28/02/2021;Tipe2 Biasa 140 Hitam;;
580;28/02/2021;Tipe2 Biasa 160 Hitam;;
581;02/03/2021;Tipe2 Biasa 180 Merah;;
582;02/03/2021;Tipe3 Biasa 140 Hitam;;
583;02/03/2021;Tipe3 Biasa 180 Hitam;;
584;02/03/2021;Tipe3 Biasa 140 Pink;;
585;02/03/2021;Tipe3 Biasa 160 Pink;;
586;02/03/2021;Tipe4 Biasa 140 Coklat;;
587;02/03/2021;Tipe1 Laci 180 Pink;;
588;02/03/2021;Tipe1 Permata 160 Abu-Abu;;
589;02/03/2021;Tipe1 Biasa 140 Coklat;;
590;02/03/2021;Tipe2 Biasa 140 Coklat;;
591;02/03/2021;Tipe2 Biasa 160 Coklat;;
592;02/03/2021;Tipe2 Biasa 160 Hitam;;
593;02/03/2021;Tipe2 Biasa 140 Merah;;
594;02/03/2021;Tipe2 Biasa 160 Pink;;
595;02/03/2021;Tipe3 Biasa 180 Abu-Abu;;
596;02/03/2021;Tipe3 Biasa 120 Coklat;;
597;04/03/2021;Tipe3 Biasa 160 Hitam;;
598;04/03/2021;Tipe4 Biasa 160 Hitam;;
599;04/03/2021;Tipe1 Laci 160 Abu-Abu;;
600;04/03/2021;Tipe1 Laci 160 Coklat;;
601;04/03/2021;Tipe2 Laci 160 Hitam;;
602;04/03/2021;Tipe2 Laci 160 Pink;;
603;04/03/2021;Tipe1 Biasa 180 Abu-Abu;;
604;04/03/2021;Tipe1 Biasa 120 Coklat;;
605;04/03/2021;Tipe2 Biasa 160 Abu-Abu;;
606;04/03/2021;Tipe2 Biasa 120 Hitam;;
607;04/03/2021;Tipe2 Biasa 140 Hitam;;
608;04/03/2021;Tipe2 Biasa 140 Hitam;;
609;04/03/2021;Tipe2 Biasa 180 Hitam;;
610;07/03/2021;Tipe2 Biasa 180 Pink;;
611;07/03/2021;Tipe3 Biasa 120 Coklat;;
612;07/03/2021;Tipe4 Biasa 180 Coklat;;
613;07/03/2021;Tipe4 Biasa 140 Pink;;
614;07/03/2021;Tipe3 Laci 160 Hitam;;
615;07/03/2021;Tipe3 Permata 180 Abu-Abu;;
616;07/03/2021;Tipe3 Permata 180 Hitam;;
617;07/03/2021;Tipe1 Biasa 120 Abu-Abu;;
